no.;av.pred_test;response
325;0,008141275;0
326;0,004480993;0
327;0,003763085;0
328;0,003028385;0
329;0,000272433;0
330;0,00181454;0
331;0,001447755;0
332;0,000496008;0
333;0,00289685;0
334;0,005232066;0
335;0,001133642;0
336;0,001008645;0
337;0,000495796;0
338;0,004611778;0
339;0,000273089;0
340;0,001575235;0
341;0,001494595;0
342;0,002900062;0
343;0,004821007;0
344;0,00129033;0
345;0,00330516;0
346;0,013528843;0
347;0,561231591;1
348;0,499714483;1
349;0,000431359;0
350;0,00764066;0
