no.;av.pred_test;response
1;0,103294882;0
2;0,015233269;0
3;0,006193402;0
4;0,122290968;0
5;0,06206012;0
6;0,000359286;0
7;0,00214779;0
8;0,435739226;1
9;0,014946744;0
10;0,014835502;0
11;0,017779567;0
12;0,014855143;0
13;0,54655724;1
14;0,007858543;0
15;0,248221698;1
16;0,449998694;1
17;0,255317486;1
18;0,376119084;1
19;0,002986781;0
20;5,76351E-07;0
21;25,46606685;1
22;0,094333799;0
23;0,01630262;0
24;0,010370701;0
25;0,050514748;0
26;0,000146352;0
27;1,3652E-08;0
28;0,095101115;0
29;0,000461185;0
30;0,000629925;0
31;0,000585824;0
32;0,603886472;1
33;0,006213472;0
34;0,000103782;0
35;0,000661785;0
36;0,001638396;0
37;0,231948854;0
38;0,125701966;0
39;0,003879558;0
40;0,075876971;0
41;0,001309474;0
42;4,38636E-07;0
43;6,21301E-05;0
44;0,003331419;0
45;0,000202367;0
46;0,072400606;0
47;5,383E-12;0
48;1,1537E-11;0
49;0,001564156;0
50;0,003293494;0
51;0,023737544;0
52;0,609378192;1
53;0,086877678;0
54;0,000613771;0
55;0,631817716;1
56;0,001902646;0
57;0,002427149;0
58;0,005893859;0
59;0,005295136;0
60;0,000730662;0
61;0,039624868;0
62;0,002295222;0
63;4,34114E-07;0
64;0,662773371;1
65;0,000358;0
66;0,000595169;0
67;0,162446693;0
68;0,882240065;1
69;0,092006171;0
70;0,012390457;0
71;0,023085417;0
72;0,04200982;0
73;0,0003058;0
74;0,000330317;0
75;0,012650871;0
76;0,036390609;0
77;6,8509E-09;0
78;4,11521E-05;0
79;5,60446E-07;0
80;0,000633046;0
81;0,003220435;0
82;0,623965674;1
83;0,005696172;0
84;0,00782858;0
85;0,032700455;0
86;0,467303816;1
87;2,722178582;1
88;0,000232618;0
89;1,005712001;1
90;0,151301178;0
91;0,054333288;0
92;0,002433747;0
93;4,86948E-06;0
94;1,101741295;1
95;0,018531689;0
96;0,643917875;1
97;0,450914641;1
98;0,00376818;0
99;0,001602427;0
100;0;0
101;0,000619228;0
102;0,000695144;0
103;0,64250616;1
104;0,00093928;0
105;0,213403839;0
106;0,000604115;0
